primary_isbn13,nyt_title,nyt_author,nyt_publisher,nyt_weeks_on_list,nyt_rank,nyt_list_name,num_lists_appeared,match_method,google_books_id,google_title,google_subtitle,google_authors,google_publisher,google_published_date,google_description,page_count,categories,average_rating,ratings_count,language,maturity_rating,preview_link,info_link,isbn13_clean,categories_list,primary_genre,num_google_categories,google_pub_year,google_pub_date_parsed,google_pub_month,google_pub_decade,description_word_count,has_google_description,has_google_subtitle,has_average_rating,has_ratings_count,long_run_52_weeks,long_run_26_weeks,above_median_weeks,top_5_rank,primary_isbn13_ol,ol_author_name,ol_publisher,ol_languages,ol_ebook_access,ol_has_fulltext,ol_public_scan,ol_internet_archive_ids,ol_edition_count,ol_number_of_pages,is_series,series_name,author_total_works,author_birth_date,ol_subjects,ol_first_publish_year,ol_subjects_list,primary_ol_subject,num_ol_subjects,ol_languages_list,num_ol_languages,primary_ol_language,ol_archive_ids_list,num_archive_ids,ol_first_publish_decade,has_author_birth_date,has_series_name,has_open_library_match,page_count_gap_google_minus_ol,has_page_count_google,has_page_count_ol,has_both_page_counts,years_since_google_pub,years_since_first_publish,google_vs_ol_year_gap
9780593820247,DUNGEON CRAWLER CARL,Matt Dinniman,Ace,12,15,Hardcover Fiction,1,isbn,CuoCEQAAQBAJ,Dungeon Crawler Carl,,['Matt Dinniman'],Penguin Group,2024-08-27,"NEW YORK TIMES BESTSELLER • The apocalypse will be televised! Welcome to the first book in the wildly popular and addictive Dungeon Crawler Carl series—now with bonus material exclusive to this print edition. You know what’s worse than breaking up with your girlfriend? Being stuck with her prize-winning show cat. And you know what’s worse than that? An alien invasion, the destruction of all man-made structures on Earth, and the systematic exploitation of all the survivors for a sadistic intergalactic game show. That’s what. Join Coast Guard vet Carl and his ex-girlfriend’s cat, Princess Donut, as they try to survive the end of the world—or just get to the next level—in a video game–like, trap-filled fantasy dungeon. A dungeon that’s actually the set of a reality television show with countless viewers across the galaxy. Exploding goblins. Magical potions. Deadly, drug-dealing llamas. This ain’t your ordinary game show. Welcome, Crawler. Welcome to the Dungeon. Survival is optional. Keeping the viewers entertained is not. Includes part one of the exclusive bonus story “Backstage at the Pineapple Cabaret.”",465.0,['Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=CuoCEQAAQBAJ&printsec=frontcover&dq=isbn:9780593820247&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=CuoCEQAAQBAJ&dq=isbn:9780593820247&hl=&source=gbs_api,9780593820247,['Fiction'],Fiction,1,2024.0,2024-08-27,8.0,2020.0,175,True,False,False,False,False,False,True,False,9780593820247.0,Matt Dinniman,Ace,['eng'],no_ebook,False,False,[],10.0,465.0,True,series:Dungeon Crawler Carl,25.0,,"['series:Dungeon Crawler Carl', 'genre:LitRPG', 'genre:science fantasy']",2020.0,"['series:Dungeon Crawler Carl', 'genre:LitRPG', 'genre:science fantasy']",series:Dungeon Crawler Carl,3.0,['eng'],1.0,eng,[],0.0,2020.0,False,True,True,0.0,True,True,True,2.0,6.0,4.0
9780358272441,LITTLE BLUE TRUCK'S VALENTINE,Alice Schertle,Clarion,42,1,Children’s Picture Books,1,isbn,MWnDDwAAQBAJ,Little Blue Truck's Valentine,,"['Alice Schertle', 'Jill McElmurry']",Clarion Books,2020,Little Blue Truck makes special deliveries for Valentine's Day and brings cards to all his friends as he hopes someone will deliver a card to him.,25.0,['Juvenile Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=MWnDDwAAQBAJ&printsec=frontcover&dq=isbn:9780358272441&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=MWnDDwAAQBAJ&dq=isbn:9780358272441&hl=&source=gbs_api,9780358272441,['Juvenile Fiction'],Juvenile Fiction,1,2020.0,,,2020.0,26,True,False,False,False,False,True,True,True,9780358272441.0,Alice Schertle,Houghton Mifflin Harcourt Publishing Company,['eng'],no_ebook,False,False,[],2.0,,False,,100.0,,"['nyt:picture-books=2021-01-17', 'New York Times bestseller', ""Children's fiction"", 'Trucks, fiction', 'Domestic animals, fiction', ""Valentine's day, fiction""]",2020.0,"['nyt:picture-books=2021-01-17', 'New York Times bestseller', ""Children's fiction"", 'Trucks, fiction', 'Domestic animals, fiction', ""Valentine's day, fiction""]",nyt:picture-books=2021-01-17,6.0,['eng'],1.0,eng,[],0.0,2020.0,False,False,True,,True,False,False,6.0,6.0,0.0
9781640635333,THE LAST LETTER,Rebecca Yarros,Amara,11,13,Paperback Trade Fiction,2,isbn,azdbtgEACAAJ,The Last Letter,,['Rebecca Yarros'],Entangled: Amara,2019-02-26,"“The Last Letter is a haunting, heartbreaking and ultimately inspirational love story.“—InTouch Weekly Beckett, If you’re reading this, well, you know the last-letter drill. You made it. I didn’t. Get off the guilt train, because I know if there was any chance you could have saved me, you would have. I need one thing from you: get out of the army and get to Telluride. My little sister Ella’s raising the twins alone. She’s too independent and won’t accept help easily, but she has lost our grandmother, our parents, and now me. It’s too much for anyone to endure. It’s not fair. And here’s the kicker: there’s something else you don’t know that’s tearing her family apart. She’s going to need help. So if I’m gone, that means I can’t be there for Ella. I can’t help them through this. But you can. So I’m begging you, as my best friend, go take care of my sister, my family. Please don’t make her go through it alone. Ryan",432.0,['Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=azdbtgEACAAJ&dq=isbn:9781640635333&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=azdbtgEACAAJ&dq=isbn:9781640635333&hl=&source=gbs_api,9781640635333,['Fiction'],Fiction,1,2019.0,2019-02-26,2.0,2010.0,168,True,False,False,False,False,False,True,False,9781640635333.0,Rebecca Yarros,Entangled: Amara,"['dut', 'eng']",no_ebook,False,False,[],7.0,432.0,False,,36.0,14 april 1981,"['Fiction, romance, general']",2019.0,"['Fiction, romance, general']","Fiction, romance, general",1.0,"['dut', 'eng']",2.0,dut,[],0.0,2010.0,True,False,True,0.0,True,True,True,7.0,7.0,0.0
9781630062927,PAGAN THREAT,Lucas Miles,Humanix,4,9,"Advice, How-To & Miscellaneous",1,isbn,zbG10AEACAAJ,Pagan Threat,Confronting America's Godless Uprising with a Foreword by Charlie Kirk,['Lucas Miles'],,2025-02-25,"""A fearless warrior for Christ. Lucas is a man built to stand for the truth in a time of great apostasy. Don't just read PAGAN THREAT--internalize what it has to say. Then, share its message with your Christian friends, before they are seduced by Paganism themselves. We have a faith and a country to save.""--CHARLIE KIRK THERE IS A RISING PAGAN THREAT TO THE CHURCH AND AMERICAN WAY OF LIFE. Pastor Lucas Miles, bestselling author of Woke Jesus: The False Messiah Destroying Christianity, delves into the alarming resurgence of pagan ideologies within the United States, posing significant threats to the church, the nation, and the world. Unveiling the complex interplay between ancient beliefs and modern society, PAGAN THREAT: CONFRONTING AMERICA'S GODLESS UPRISING meticulously exposes the inherent dangers that challenge the core fabric of our faith and civic unity. From exposing an evolving techno paganism to blatant idol worship, Pastor Miles navigates the intricate terrain of safeguarding the nation and the pulpit against the rising tide of paganism. PAGAN THREAT serves as an insightful guide, a warning and a call-to-action, urging readers to understand, confront, and ultimately fortify the foundations of their faith and the principles that define our great nation, and is a necessary work to prepare God's people for what comes next in a society experiencing moral and spiritual decline.",0.0,['Political Science'],,,en,NOT_MATURE,http://books.google.com/books?id=zbG10AEACAAJ&dq=isbn:9781630062927&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=zbG10AEACAAJ&dq=isbn:9781630062927&hl=&source=gbs_api,9781630062927,['Political Science'],Political Science,1,2025.0,2025-02-25,2.0,2020.0,221,True,True,False,False,False,False,True,False,9781630062927.0,Lucas Miles,Humanix Books,['eng'],no_ebook,False,False,[],2.0,256.0,False,,4.0,,"['Religion', 'Political science']",2025.0,"['Religion', 'Political science']",Religion,2.0,['eng'],1.0,eng,[],0.0,2020.0,False,False,True,-256.0,True,True,True,1.0,1.0,0.0
9798217032440,"STRANGER THINGS, SEASON ONE: THE JUNIOR NOVELIZATION",adapted by Matthew J. Gilbert,Random House,1,10,Middle Grade Paperback,1,isbn,HhlZEQAAQBAJ,"Stranger Things, Season One: The Junior Novelization",,['Random House'],Random House,2025-07-08,"This expanded junior novelization retells the first season of Netflix’s iconic series Stranger Things—and includes 8 pages of full-color images from the show! Hawkins is a quiet town where nothing exciting seems to happen—until one night when a boy named Will Byers vanishes. Follow his friends Mike, Lucas, and Dustin as they search for him and uncover a world of secret experiments and terrifying supernatural forces. Is Eleven, a girl with incredible psychic powers, the secret to the mystery? This 320-page junior novelization, which includes eight pages of full-color images from the show, retells the landmark first season of Stranger Things and is sure to thrill kids ages 7 to 10 as well as fans of all ages. Welcome to the thrilling world of Netflix's hit series Stranger Things. Follow Eleven, Dustin, Max, Lucas, and their friends for mystery, suspense, and supernatural adventures in 1980s Hawkins.",329.0,['Juvenile Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=HhlZEQAAQBAJ&printsec=frontcover&dq=isbn:9798217032440&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=HhlZEQAAQBAJ&dq=isbn:9798217032440&hl=&source=gbs_api,9798217032440,['Juvenile Fiction'],Juvenile Fiction,1,2025.0,2025-07-08,7.0,2020.0,146,True,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,1.0,,
9781728256184,THE SUN AND THE STARMAKER,Rachel Griffin,Sourcebooks Fire,10,8,Young Adult Hardcover,1,isbn,9TpH0QEACAAJ,The Sun and the Starmaker,,['Rachel Griffin'],Sourcebooks Fire,2026-02-17,"There once was a village so far north that most considered it the top of the world... and in that village, the Sun fell in love with her Starmaker. From the New York Times bestselling author of The Nature of Witches comes a whimsical and sweeping romantic fantasy. Nestled deep in the snowy mountains of the Lost Range, the village of Reverie is a small miracle. Beyond the reach of the Sun, Reverie is dependent upon the magic of the mysterious Starmaker: every morning, he trudges across a vast glacier and pulls in sunlight over the peaks, providing the village with the light it needs to survive. Aurora Finch grew up on tales of the Starmaker's magic, never imagining she'd one day meet him. But on the morning of her wedding, a fateful encounter in the frostbitten woods changes everything. The Starmaker senses a powerful magic within her and demands she come study under his guidance. With her newfound abilities tied to the survival of the village, Aurora is swept away to his ice-covered castle and far from everything she's ever known. The Starmaker is as cold and distant as the mountain itself, leaving Aurora to explore his enchanted castle alone. Yet the more she discovers about the sorcerer, the stronger their attraction grows, pulling her closer to the secrets he refuses to share. But a deadly frost approaches and Aurora must uncover what the Starmaker is hiding before she is left in an endless winter that even the Sun cannot touch.",0.0,['Juvenile Nonfiction'],,,en,NOT_MATURE,http://books.google.com/books?id=9TpH0QEACAAJ&dq=isbn:9781728256184&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=9TpH0QEACAAJ&dq=isbn:9781728256184&hl=&source=gbs_api,9781728256184,['Juvenile Nonfiction'],Juvenile Nonfiction,1,2026.0,2026-02-17,2.0,2020.0,252,True,False,False,False,False,False,True,False,9781728256184.0,Sourcebooks,"Sourcebooks, Incorporated",['eng'],no_ebook,False,False,[],1.0,400.0,False,,100.0,,[],2025.0,[],Unknown,0.0,['eng'],1.0,eng,[],0.0,2020.0,False,False,True,-400.0,True,True,True,0.0,1.0,1.0
9781668648421,BIG DUMB EYES,Nate Bargatze,Hachette Audio,4,8,Audio Nonfiction,1,title_author,rn6Q0QEACAAJ,Big Dumb Eyes,Stories from a Simpler Mind,['Nate Bargatze'],,2026-05-19,"AN INSTANT #1 NEW YORK TIMES BESTSELLER A #1 TORONTO STAR BESTSELLER AN INSTANT USA TODAY AND INDIE BESTSELLER A GLOBE AND MAIL BESTSELLER From one of the hottest stand-up comedians, Nate Bargatze brings his everyman comedy to the page in this hilarious collection of personal stories, opinions, and confessions - now in paperback! Nate Bargatze used to be a genius. That is, until the summer after seventh grade when he slipped, fell off a cliff, hit his head on a rock, and ""my skull got, like, dented or something."" Before this accident, he dreamed of being ""an electric engineer, or a doctor that does brain stuff, or a math teacher who teaches the hardest math on earth."" Afterwards, all he could do was stand-up comedy.* But the ""brain stuff"" industry's loss is everyone else's gain because Nate went on to become one of today's top-grossing comedians, breaking both attendance and streaming records. In his highly anticipated first book, Nate talks about life as a non-genius. From stories about his first car (named Old Blue, a clunky Mazda with a tennis ball stick shift) and his travels as a Southerner (Northerners like to ask if he believes in dinosaurs), to tales of his first apartment where he was almost devoured by rats and his many debates with his wife over his chores, his diet, and even his definition of ""shopping."" He also reflects on such heady topics as his irrational passion for Vandy football and the mysterious origins of sushi (how can a California roll come from old-time Japan?). BIG DUMB EYES is full of heart. It will make readers laugh out loud and nod in recognition, but it probably won't make them think too much. *Nate's family disputes this entire story. Now in paperback!",0.0,['Biography & Autobiography'],,,en,NOT_MATURE,http://books.google.com/books?id=rn6Q0QEACAAJ&dq=intitle:BIG+DUMB+EYES+inauthor:Nate+Bargatze&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=rn6Q0QEACAAJ&dq=intitle:BIG+DUMB+EYES+inauthor:Nate+Bargatze&hl=&source=gbs_api,9781668648421,['Biography & Autobiography'],Biography & Autobiography,1,2026.0,2026-05-19,5.0,2020.0,295,True,True,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,0.0,,
9781496758071,THE THRONE OF BROKEN GODS,Amber V. Nicole,Kensington,1,3,Hardcover Fiction,2,isbn,S0eaEQAAQBAJ,The Throne of Broken Gods: Deluxe Limited Edition,,['Amber V. Nicole'],Kensington Publishing Corp,2026-04-28,"The global phenomena and bestselling romantasy saga continues as amid the Etherworld’s ancient battles and wrenching betrayals, the lines between villains and heroes, enemies and lovers, right and wrong, begin to blur. For where there are Gods, there are also Monsters . . . ***DELUXE SPECIAL EDITION with stenciled edges, exclusive design with full-color illustrated endpapers including character art, designed hardcover case, chapter headers, and an EXCLUSIVE BONUS SCENE!*** Descended into darkness . . . Wronged beyond comprehension, and grieving, Dianna is hellbent on revenge against those who betrayed her. As a legendary Ig'Morruthien, she thirsts for blood and can take any form. But her true form is the most terrifying of all. As the last shred of her humanity is ripped from her, she decides to embrace her monstrous side and set the worlds alight. Only love can bring her back . . . Samkiel, an immortal God, was once the sworn enemy of Dianna and her kind. Yet now he alone refuses to believe that the woman he loves has become the monster whom everyone else sees—and he'll do anything in his power to save her from herself, even if it means losing her forever. With every realm now at risk from Kaden's army, and a myriad of new threats on the horizon, Samkiel can't afford to let his guard down. Only he can pull Dianna back from the brink of damnation. And as Dianna's thirst for blood only increases, he is running out of time to save them both.",0.0,['Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=S0eaEQAAQBAJ&dq=isbn:9781496758071&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=S0eaEQAAQBAJ&dq=isbn:9781496758071&hl=&source=gbs_api,9781496758071,['Fiction'],Fiction,1,2026.0,2026-04-28,4.0,2020.0,252,True,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,0.0,,
9781665990301,BETTER THAN THE MOVIES,Lynn Painter,Simon & Schuster,12,7,Young Adult Hardcover,1,isbn,BpqeEQAAQBAJ,Better Than the Movies (Collector's Edition),,['Lynn Painter'],Simon and Schuster,2026-01-06,"Michael, to whom Liz Buxbaum gave her heart long ago, has returned but to get his attention and, perhaps, a prom date she must scheme with her nemesis Wes, her next-door neighbor. Provided by publisher.",384.0,['Juvenile Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=BpqeEQAAQBAJ&printsec=frontcover&dq=isbn:9781665990301&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=BpqeEQAAQBAJ&dq=isbn:9781665990301&hl=&source=gbs_api,9781665990301,['Juvenile Fiction'],Juvenile Fiction,1,2026.0,2026-01-06,1.0,2020.0,35,True,False,False,False,False,False,True,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,True,False,False,0.0,,
9781546171461,THE HUNGER GAMES,Suzanne Collins,Scholastic,420,1,Children’s & Young Adult Series,1,isbn,7NDJ0AEACAAJ,Sunrise on the Reaping (a Hunger Games Novel),,['Suzanne Collins'],Scholastic Press,2025-03-18,"The phenomenal fifth book in the Hunger Games series! When you've been set up to lose everything you love, what is there left to fight for? As the day dawns on the fiftieth annual Hunger Games, fear grips the districts of Panem. This year, in honor of the Quarter Quell, twice as many tributes will be taken from their homes. Back in District 12, Haymitch Abernathy is trying not to think too hard about his chances. All he cares about is making it through the day and being with the girl he loves. When Haymitch's name is called, he can feel all his dreams break. He's torn from his family and his love, shuttled to the Capitol with the three other District 12 tributes: a young friend who's nearly a sister to him, a compulsive oddsmaker, and the most stuck-up girl in town. As the Games begin, Haymitch understands he's been set up to fail. But there's something in him that wants to fight . . . and have that fight reverberate far beyond the deadly arena.",0.0,['Young Adult Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=7NDJ0AEACAAJ&dq=isbn:9781546171461&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=7NDJ0AEACAAJ&dq=isbn:9781546171461&hl=&source=gbs_api,9781546171461,['Young Adult Fiction'],Young Adult Fiction,1,2025.0,2025-03-18,3.0,2020.0,177,True,False,False,False,True,True,True,True,9781546171461.0,Suzanne Collins,Scholastic,['eng'],no_ebook,False,False,[],10.0,382.0,False,,43.0,,[],2025.0,[],Unknown,0.0,['eng'],1.0,eng,[],0.0,2020.0,False,False,True,-382.0,True,True,True,1.0,1.0,0.0
