primary_isbn13,nyt_title,nyt_author,google_title,match_method,page_count
9781419782695,DIARY OF A WIMPY KID,Jeff Kinney,Partypooper,isbn,
9781338878929,HARRY POTTER,J.K. Rowling,"Harry Potter and the Sorcerer's Stone (Harry Potter, Book 1)",isbn,
9781546154419,HARRY POTTER,J.K. Rowling,"Harry Potter and the Goblet of Fire (Harry Potter, Book 4) (Interactive Illustrated Edition)",isbn,
9781419766954,DIARY OF A WIMPY KID,Jeff Kinney,Hot Mess (Diary of a Wimpy Kid Book 19),isbn,
9781546148500,HARRY POTTER,J.K. Rowling,"Harry Potter and the Sorcerer's Stone (Stenciled Edges) (Harry Potter, Book 1)",isbn,
9781546171409,HARRY POTTER,J.K. Rowling,"Harry Potter and the Chamber of Secrets (Stenciled Edges) (Harry Potter, Book 2)",isbn,
9780786838653,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,"The Percy Jackson and the Olympians, Book One: Lightning Thief",isbn,
9781368098045,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Percy Jackson and the Titan's Curse,isbn,
9781546171461,THE HUNGER GAMES,Suzanne Collins,Sunrise on the Reaping (a Hunger Games Novel),isbn,
9798225019280,THE HUNGER GAMES,Suzanne Collins,Sunrise on the Reaping: Collector's Edition (a Hunger Games Novel),isbn,
