primary_isbn13,title,author,publish_year,page_count,publisher,ol_edition_count,ol_subjects,ol_ebook_access,ol_languages,ol_first_publish_year,is_bestseller
9.78082E+12,Regimen Sanitatis,,1980,,Birkhauser,1,"['Life Sciences - General', 'Science']",no_ebook,['eng'],1980,0
9.78058E+12,Understanding Technical English,K. and Methold,1980,96,Longman Group United Kingdom,1,[],no_ebook,['eng'],1980,0
9.78067E+12,American hero-myths,Daniel G Brinton,1980,,Canadian Institute for Historical Microreproductions,1,"['Religion and mythology', 'Indians of Central America', 'Indians of North America']",no_ebook,['eng'],1980,0
9.78014E+12,The chance of a lifetime,Carol Dettmann,1987,224,Penguin Books,1,"['Fertilization in vitro, Human', 'Human Fertilization in vitro', 'Infertility', 'Popular works', 'Social Perception', 'Pregnancy', 'Embryo Transfer', 'Infertiligy', 'Fertilization in Vitro']",borrowable,['eng'],1987,0
9.78088E+12,Naming and identity,Richard D. Alford,1987,190,HRAF Press,2,"['Cross-cultural studies', 'Forms of Address', 'Personal Names', 'Psychological aspects', 'Individuality', 'Identity (Psychology)']",no_ebook,['eng'],1987,0
9.7809E+12,Adventures of Kama Pua'a,,1987,,Island Heritage,1,[],no_ebook,['eng'],1987,0
9.78043E+12,Fireball,Paul Davies,1987,178,Heinemann,1,[],no_ebook,['eng'],1987,0
9.78087E+12,Current Issues in Leisure Services,Joseph J. Bannon,1987,,Intl City County Management Assn,1,[],no_ebook,['eng'],1987,0
9.78094E+12,Bargain Seafoods,Marilyn R. Schmidt,1987,92,Barnegat Light Press,1,[],no_ebook,['eng'],1987,0
9.78082E+12,High-tech firearms,,1998,98,Peterson Pub. Co.,1,[],no_ebook,['eng'],1998,0
9.78443E+12,Terrestrial Radiative Transfer,H. H. Natsuyama,1998,279,Springer-Verlag Telos,1,"['Radiative transfer', 'Celestial mechanics', 'Mathematical models', 'Atmospheric radiation', 'Remote sensing', 'Meteorology', 'Scattering (Physics)']",no_ebook,['eng'],1998,0
9.78158E+12,As I kneel,Bonnie Knopf,1998,,WaterBrook Press,2,"['Fiction', 'Stories in rhyme', 'Prayer', 'Mother and child']",no_ebook,['eng'],1998,0
9.78098E+12,Lancasters Lake,Mary Lee Tiernan,1999,20,Snoops Desktop Pub.,3,"['California history', 'History', 'Hollywood movies', 'Pioneer families']",no_ebook,['eng'],1999,0
9.78094E+12,Internet rainbow guide for the Inland Empire 1999,Glenda Riddick-Norton,1999,97,Resource Directory,1,[],no_ebook,['eng'],1999,0
9.78157E+12,Public Voices,,1999,375,Orbis Books,1,"['Roman Catholicism, Roman Catholic Church', 'Religion', 'Christianity - Catholicism', 'Religion - Catholicism', 'United States - General', 'United States', 'Religion - Classic Works', 'Christianity - History - Catholic', 'Catholics', 'Christianity - Catholic']",no_ebook,['eng'],1999,0
9.78157E+12,Computer Concepts Brief and Microsoft Works 3 for Windows - Illustrated,June J. Parsons,2000,,Bloomsbury Publishing Plc,1,['Microsoft works (computer program)'],no_ebook,['eng'],2000,0
9.78074E+12,Ecool,Wylie Potter,2000,124,Xlibris Corporation,1,[],no_ebook,['eng'],2000,0
9.78156E+12,Hierarchical Linear and Nonlinear Modeling,Stephen Raudenbush,2000,320,Lawrence Erlbaum,1,[],no_ebook,['eng'],2000,0
9.78187E+12,No Title Exists,Estelle Thompson,2000,,,1,[],no_ebook,['eng'],2000,0
9.78155E+12,Way off 1st Avenue,Thomas Land,2000,310,Trafford Publishing,1,[],no_ebook,['eng'],2000,0
9.78353E+12,Polymers in Dispersed Media II,C.S. Kniep,2000,330,Wiley-VCH,1,['Polymers'],no_ebook,['eng'],2000,0
9.78383E+12,"Merci, Guy Roux",Günter Rohrbacher-List,2001,,Books on Demand GmbH,1,[],no_ebook,['eng'],2001,0
9.7806E+12,2000 Import and Export Market for Printing and Bookbinding Machinery and Parts in Pakistan,"ICON Group International, Inc.",2001,24,Icon Group International,1,[],no_ebook,['eng'],2001,0
9.78085E+12,CRC Dictionary of Agricultural Sciences,Robert Alan Lewis,2001,680,CRC,4,"['Agrarwissenschaft', 'Agriculture', 'Dictionaries', 'Dictionnaires', 'Wörterbuch']",printdisabled,['eng'],2001,0
9.78061E+12,The Paper Doorway,Dean Koontz,2001,160,Tandem Library,8,[],borrowable,['eng'],2001,0
9.78075E+12,Ourselves,Neil Griffiths,2001,16,Nelson Thornes Ltd,3,"['Early learning / early learning concepts', 'English language readers']",no_ebook,['eng'],2001,0
9.78053E+12,National Geographic Caspian Region,,2001,,Rand McNally & Company,1,"['General', 'Maps & Road Atlases', 'Travel', 'Travel - Foreign', 'Maps']",no_ebook,['eng'],2001,0
9.78087E+12,ISO lesson guide 2000,Dennis R. Arter,2001,72,ASQ Quality Press,1,"['Quality control', 'Handbooks, manuals', 'Standards', 'ISO 9001 Standard']",printdisabled,['eng'],2001,0
