published_date,bestsellers_date,list_name,display_name,list_name_encoded,rank,rank_last_week,weeks_on_list,title,author,publisher,description,primary_isbn10,primary_isbn13,amazon_url
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,1,0,1,THE BALLAD OF FALLING DRAGONS,Sarah A. Parker,Avon,"The second book in the Moonfall series. As a calamitous moonfall approaches, Raeve must make life-or-death decisions.",,9780063415898,https://www.amazon.com/dp/0063415895?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,2,0,1,IRONWOOD,Michael Connelly,"Little, Brown",The second book in the Catalina series. A deadly drug drop and a missing person case fuel Stillwell’s sense of duty.,,9780316595391,https://www.amazon.com/dp/B0G1M3RCVT?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,3,10,2,THE DEAL,Elle Kennedy,Bloom,Hannah Wells makes a deal with the captain of the college hockey team in exchange for tutoring him that may complicate their relationship.,,9781775293934,https://www.amazon.com/dp/1775293939?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,4,2,25,THEO OF GOLDEN,Allen Levi,Atria,"A man travels to a small Southern town, where he purchases pencil drawings of local residents and exchanges them for stories.",,9781668236512,https://www.amazon.com/dp/1668236516?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,5,3,7,YESTERYEAR,Caro Claire Burke,Knopf,"Natalie Heller Mills, a privileged tradwife social media influencer, wakes up to find she is living in the comparatively difficult reality of 1855.",,9780593804216,https://www.amazon.com/dp/059380421X?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,6,5,50,PROJECT HAIL MARY,Andy Weir,Ballantine,"Ryland Grace awakes from a long sleep alone and far from home, and the fate of humanity rests on his shoulders; the basis of the movie.",,9780593135228,https://www.amazon.com/dp/0593135202?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,7,0,2,THE MISTAKE,Elle Kennedy,Bloom,The second book in the Off-Campus series. A college hockey player attempts to redeem himself to a rising sophomore.,,9781775293941,https://www.amazon.com/dp/1775293947?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,8,0,2,THE SCORE,Elle Kennedy,Bloom,The third book in the Off-Campus series. A brokenhearted senior resists the charms of a hockey star.,,9781775293958,https://www.amazon.com/dp/1775293955?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,9,0,1,FEVER DREAM,Elsie Silver,Atria,A bull rider goes on a reality dating show to save his family’s farm but falls for the show’s location consultant who is also his rival’s sister.,,9781668099575,https://www.amazon.com/dp/1668099578?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,10,4,23,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there; the basis of the movie.,,9780063204164,https://www.amazon.com/dp/0063204169?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,11,9,20,DUNGEON CRAWLER CARL,Matt Dinniman,Ace,"A Coast Guard vet named Carl and his ex-girlfriend’s cat, Princess Donut, are trapped in a fantasy dungeon.",,9780593820254,https://www.amazon.com/dp/0593820258?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,12,8,3,OUR PERFECT STORM,Carley Fortune,Berkley,"After her fiancé leaves her, Frankie goes on her planned honeymoon trip with her best friend from childhood, George.",,9780593953242,https://www.amazon.com/dp/059395324X?tag=thenewyorktim-20
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,13,12,3,THE CALAMITY CLUB,Kathryn Stockett,Spiegel & Grau,"As things get tougher during the Depression, several women look for ways to improve their circumstances.",,9781954118812,https://www.amazon.com/dp/1954118813?tag=thenewyorktim-20&linkCode=osi&th=1&psc=1
2026-06-07,2026-05-23,Combined Print & E-Book Fiction,Combined Print & E-Book Fiction,combined-print-and-e-book-fiction,14,11,28,THE CORRESPONDENT,Virginia Evans,Crown,Letters from someone she used to know push Sybil Van Antwerp toward revisiting her past and finding a way to forgive.,,9780593798430,https://www.amazon.com/dp/0593798430?tag=thenewyorktim-20
