primary_isbn13,nyt_title,nyt_author,nyt_published_date
9780063415898,THE BALLAD OF FALLING DRAGONS,Sarah A. Parker,2026-06-07
9780316595391,IRONWOOD,Michael Connelly,2026-06-07
9781775293934,THE DEAL,Elle Kennedy,2026-06-07
9781668236512,THEO OF GOLDEN,Allen Levi,2026-06-07
9780593804216,YESTERYEAR,Caro Claire Burke,2026-06-07
9780593135228,PROJECT HAIL MARY,Andy Weir,2026-06-07
9781775293941,THE MISTAKE,Elle Kennedy,2026-06-07
9781775293958,THE SCORE,Elle Kennedy,2026-06-07
9781668099575,FEVER DREAM,Elsie Silver,2026-06-07
9780063204164,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,2026-06-07
9780593820254,DUNGEON CRAWLER CARL,Matt Dinniman,2026-06-07
9780593953242,OUR PERFECT STORM,Carley Fortune,2026-06-07
9781954118812,THE CALAMITY CLUB,Kathryn Stockett,2026-06-07
9780593798430,THE CORRESPONDENT,Virginia Evans,2026-06-07
9798217190065,A PARADE OF HORRIBLES,Matt Dinniman,2026-06-07
9780316601306,LIAR'S KINGDOM,Andrew Weissmann,2026-06-07
9780593733318,STRANGERS,Belle Burden,2026-06-07
9780063446533,SUICIDAL EMPATHY,Gad Saad,2026-06-07
9781538773420,THIS IS ME,Hayden Panettiere,2026-06-07
9780593832837,HOW TO RULE THE WORLD,Theo Baker,2026-06-07
9780063515277,ALL AMERICAN PATRIOTISM,Rachel Campos-Duffy,2026-06-07
9780593129326,FAMESICK,Lena Dunham,2026-06-07
9780385548533,LONDON FALLING,Patrick Radden Keefe,2026-06-07
9780143127741,THE BODY KEEPS THE SCORE,Bessel van der Kolk,2026-06-07
9780063451070,"DOGS, BOYS, AND OTHER THINGS I'VE CRIED ABOUT",Isabel Klee,2026-06-07
9781668074749,THE LOST EMPIRE OF EMANUEL NOBEL,Douglas Brunt,2026-06-07
9781668249970,TAKE ME TO YOUR LEADER,Neil deGrasse Tyson,2026-06-07
9780063360808,THE CASE FOR AMERICA,Bret Baier,2026-06-07
9781982140724,AN INCONVENIENT WIDOW,Lois Romano,2026-06-07
9798895656488,THE EDUCATION OF A SENATOR,Lamar Alexander,2026-06-07
9780316595384,IRONWOOD,Michael Connelly,2026-06-07
9780593820261,CARL'S DOOMSDAY SCENARIO,Matt Dinniman,2026-06-07
9780593820285,THE DUNGEON ANARCHIST'S COOKBOOK,Matt Dinniman,2026-06-07
9781250408051,THE SHIPPERS,Katherine Center,2026-06-07
9780316569804,26 BEAUTIES,James Patterson,2026-06-07
9780593820247,DUNGEON CRAWLER CARL,Matt Dinniman,2026-06-07
9780593955970,THE GATE OF THE FERAL GODS,Matt Dinniman,2026-06-07
9780063462434,STARSIDE,Alex Aster,2026-06-07
9780593875490,BROKEN DOVE,Dani Francis,2026-06-07
9780593655030,THE ANXIOUS GENERATION,Jonathan Haidt,2026-06-07
9781538785263,SCORE,Kennedy Ryan,2026-06-07
9780316573757,THE KNIGHT AND THE MOTH,Rachel Gillig,2026-06-07
9781775293965,THE GOAL,Elle Kennedy,2026-06-07
9780008761479,THE DAISY CHAIN FLOWER SHOP,Laurie Gilmore,2026-06-07
9780593441237,GREAT BIG BEAUTIFUL LIFE,Emily Henry,2026-06-07
9781638932277,GAME ON,Navessa Allen,2026-06-07
9781464246753,RULES FOR THE SUMMER,Meghan Quinn,2026-06-07
9781401971366,THE LET THEM THEORY,Mel Robbins,2026-06-07
9780735211292,ATOMIC HABITS,James Clear,2026-06-07
9780063328068,SPAIN MY WAY,José Andrés with Sam Chapple-Sokol,2026-06-07
9798318604126,MONEY UNLOCKED,John Lee,2026-06-07
9780593418574,UNREASONABLE HOSPITALITY,Will Guidara,2026-06-07
9781455570249,MAKE YOUR BED,William H. McRaven,2026-06-07
9781538771471,BIRTH VIBES,Jen Hamilton,2026-06-07
9781668077160,DIG IN!,Erin O'Brien,2026-06-07
9781667512549,18 DAYS IN HEAVEN,Gabe Poirot,2026-06-07
9780062976581,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,2026-06-07
9780375869020,WONDER,R.J. Palacio,2026-06-07
9780063221178,WOMBAT WAITING,Katherine Applegate,2026-06-07
9798217234288,KPOP DEMON HUNTERS,Jessica Yoon,2026-06-07
9781665961110,UNSETTLING SALAD!,Aaron Reynolds,2026-06-07
9781665989817,GROWING HOME,Beth Ferry,2026-06-07
9781250904362,POCKET BEAR,Katherine Applegate,2026-06-07
9781368109116,THE COURT OF THE DEAD,Rick Riordan and Mark Oshiro,2026-06-07
9780593809907,THE POISONED KING,Katherine Rundell,2026-06-07
9781338736106,WAR GAMES,Alan Gratz,2026-06-07
9781665961080,TROUBLING TONSILS!,Aaron Reynolds,2026-06-07
9798217033331,WE ARE MIGHTY,Sharon McMahon,2026-06-07
9781943200085,BECAUSE I HAD A TEACHER,Kobi Yamada,2026-06-07
9781492667834,WHY A DAUGHTER NEEDS A DAD,Gregory E. Lang,2026-06-07
9781524785895,I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR,Eric Carle,2026-06-07
9781452126999,I WISH YOU MORE,Amy Krouse Rosenthal,2026-06-07
9781728235875,WHY A SON NEEDS A DAD,Gregory E. Lang,2026-06-07
9781510704848,"SEE YOU LATER, ALLIGATOR!",Sally Hopgood,2026-06-07
9780593226186,"THANK YOU, TEACHER FROM THE VERY HUNGRY CATERPILLAR",Eric Carle,2026-06-07
9780593704851,KINDERGARTEN GRADUATION!,Jennifer Liberts,2026-06-07
9780385376716,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,2026-06-07
9781419782695,DIARY OF A WIMPY KID,Jeff Kinney,2026-06-07
9781546171461,THE HUNGER GAMES,Suzanne Collins,2026-06-07
9781464277061,BOYS OF TOMMEN,Chloe Walsh,2026-06-07
9780316581097,THE WILD ROBOT,Peter Brown,2026-06-07
9781546129547,WINGS OF FIRE,Tui T. Sutherland,2026-06-07
9781546148500,HARRY POTTER,J.K. Rowling,2026-06-07
9781368051477,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,2026-06-07
9780375813658,MAGIC TREE HOUSE,Mary Pope Osborne,2026-06-07
9780316540629,THE NATURALS,Jennifer Lynn Barnes,2026-06-07
9798217116775,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,2026-06-07
9780063419056,RELEASE ME,Tahereh Mafi,2026-06-07
9798217006120,THE ESCAPE GAME,Marissa Meyer and Tamara Moss,2026-06-07
9781665921268,FAKE SKATING,Lynn Painter,2026-06-07
9781464278112,US DARK FEW,Alexis Patton,2026-06-07
9780063372573,THE THORN QUEEN,Sasha Peyton Smith,2026-06-07
9781464254529,IF ONLY I HAD TOLD HER,Laura Nowlin,2026-06-07
9781665990301,BETTER THAN THE MOVIES,Lynn Painter,2026-06-07
9798347108770,CHANGE OF PLANS,Sarah Dessen,2026-06-07
9781728256184,THE SUN AND THE STARMAKER,Rachel Griffin,2026-06-07
9781682816684,STORM BREAKER,Nisha J. Tuli,2026-06-07
9798350429084,THE LET THEM THEORY,Mel Robbins,2026-06-07
9781524779269,ATOMIC HABITS,James Clear,2026-06-07
9798217282111,THE MEANING OF YOUR LIFE,Arthur C. Brooks,2026-06-07
9781622318643,THE 48 LAWS OF POWER,Robert Greene,2026-06-07
9781668126349,START WITH YOURSELF,Emma Grede,2026-06-07
9781250433770,DROWNPROOF,Andy Stumpf,2026-06-07
9780063488786,WHAT TO MAKE OF A LIFE,Jim Collins,2026-06-07
DBKACX0303323,THE MOUNTAIN IS YOU,Brianna Wiest,2026-06-07
9798217279142,THE NEW PERIMENOPAUSE,Mary Claire Haver,2026-06-07
9780062471253,NEVER SPLIT THE DIFFERENCE,Chris Voss with Tahl Raz,2026-06-07
9781789392913,HARRY POTTER AND THE HALF-BLOOD PRINCE (FULL-CAST EDITION),J.K. Rowling,2026-06-07
9781789392906,HARRY POTTER AND THE ORDER OF THE PHOENIX (FULL-CAST EDITION),J.K. Rowling,2026-06-07
9781789392869,HARRY POTTER AND THE SORCERER’S STONE (FULL-CAST EDITION),J.K. Rowling,2026-06-07
9781789392890,HARRY POTTER AND THE GOBLET OF FIRE (FULL-CAST EDITION),J.K. Rowling,2026-06-07
9781789392883,HARRY POTTER AND THE PRISONER OF AZKABAN (FULL-CAST EDITION),J.K. Rowling,2026-06-07
9781789392876,HARRY POTTER AND THE CHAMBER OF SECRETS (FULL-CAST EDITION),J.K. Rowling,2026-06-07
9781546171492,SUNRISE ON THE REAPING,Suzanne Collins,2026-06-07
9781338334906,THE HUNGER GAMES,Suzanne Collins,2026-06-07
9781781102633,HARRY POTTER AND THE SORCERER'S STONE,J.K. Rowling,2026-06-07
9781338589016,CATCHING FIRE,Suzanne Collins,2026-06-07
9781338635201,THE BALLAD OF SONGBIRDS AND SNAKES,Suzanne Collins,2026-06-07
9781338589047,MOCKINGJAY,Suzanne Collins,2026-06-07
9781781102695,HARRY POTTER AND THE DEATHLY HALLOWS,J.K. Rowling,2026-06-07
9781781102640,HARRY POTTER AND THE CHAMBER OF SECRETS,J.K. Rowling,2026-06-07
9781781102657,HARRY POTTER AND THE PRISONER OF AZKABAN,J.K. Rowling,2026-06-07
9781603935470,PROJECT HAIL MARY,Andy Weir,2026-06-07
9781668173107,THEO OF GOLDEN,Allen Levi,2026-06-07
9798217344635,GAME ON,Navessa Allen,2026-06-07
9783748087328,DUNGEON CRAWLER CARL,Matt Dinniman,2026-06-07
9798217174331,YESTERYEAR,Caro Claire Burke,2026-06-07
9798217066377,THE CORRESPONDENT,Virginia Evans,2026-06-07
9783748087335,CARL'S DOOMSDAY SCENARIO,Matt Dinniman,2026-06-07
9798898853822,RITES OF THE STARLING,Devney Perry,2026-06-07
9783748087342,THE DUNGEON ANARCHIST'S COOKBOOK,Matt Dinniman,2026-06-07
