primary_isbn13,nyt_title,nyt_author,nyt_publisher,nyt_weeks_on_list,nyt_rank,nyt_list_name,num_lists_appeared,match_method,google_books_id,google_title,google_subtitle,google_authors,google_publisher,google_published_date,google_description,page_count,categories,average_rating,ratings_count,language,maturity_rating,preview_link,info_link
9780593820247,DUNGEON CRAWLER CARL,Matt Dinniman,Ace,12,15,Hardcover Fiction,1,isbn,CuoCEQAAQBAJ,Dungeon Crawler Carl,,['Matt Dinniman'],Penguin Group,2024-08-27,"NEW YORK TIMES BESTSELLER • The apocalypse will be televised! Welcome to the first book in the wildly popular and addictive Dungeon Crawler Carl series—now with bonus material exclusive to this print edition. You know what’s worse than breaking up with your girlfriend? Being stuck with her prize-winning show cat. And you know what’s worse than that? An alien invasion, the destruction of all man-made structures on Earth, and the systematic exploitation of all the survivors for a sadistic intergalactic game show. That’s what. Join Coast Guard vet Carl and his ex-girlfriend’s cat, Princess Donut, as they try to survive the end of the world—or just get to the next level—in a video game–like, trap-filled fantasy dungeon. A dungeon that’s actually the set of a reality television show with countless viewers across the galaxy. Exploding goblins. Magical potions. Deadly, drug-dealing llamas. This ain’t your ordinary game show. Welcome, Crawler. Welcome to the Dungeon. Survival is optional. Keeping the viewers entertained is not. Includes part one of the exclusive bonus story “Backstage at the Pineapple Cabaret.”",465.0,['Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=CuoCEQAAQBAJ&printsec=frontcover&dq=isbn:9780593820247&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=CuoCEQAAQBAJ&dq=isbn:9780593820247&hl=&source=gbs_api
9780358272441,LITTLE BLUE TRUCK'S VALENTINE,Alice Schertle,Clarion,42,1,Children’s Picture Books,1,isbn,MWnDDwAAQBAJ,Little Blue Truck's Valentine,,"['Alice Schertle', 'Jill McElmurry']",Clarion Books,2020,Little Blue Truck makes special deliveries for Valentine's Day and brings cards to all his friends as he hopes someone will deliver a card to him.,25.0,['Juvenile Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=MWnDDwAAQBAJ&printsec=frontcover&dq=isbn:9780358272441&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=MWnDDwAAQBAJ&dq=isbn:9780358272441&hl=&source=gbs_api
9781640635333,THE LAST LETTER,Rebecca Yarros,Amara,11,13,Paperback Trade Fiction,2,isbn,azdbtgEACAAJ,The Last Letter,,['Rebecca Yarros'],Entangled: Amara,2019-02-26,"“The Last Letter is a haunting, heartbreaking and ultimately inspirational love story.“—InTouch Weekly Beckett, If you’re reading this, well, you know the last-letter drill. You made it. I didn’t. Get off the guilt train, because I know if there was any chance you could have saved me, you would have. I need one thing from you: get out of the army and get to Telluride. My little sister Ella’s raising the twins alone. She’s too independent and won’t accept help easily, but she has lost our grandmother, our parents, and now me. It’s too much for anyone to endure. It’s not fair. And here’s the kicker: there’s something else you don’t know that’s tearing her family apart. She’s going to need help. So if I’m gone, that means I can’t be there for Ella. I can’t help them through this. But you can. So I’m begging you, as my best friend, go take care of my sister, my family. Please don’t make her go through it alone. Ryan",432.0,['Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=azdbtgEACAAJ&dq=isbn:9781640635333&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=azdbtgEACAAJ&dq=isbn:9781640635333&hl=&source=gbs_api
9781630062927,PAGAN THREAT,Lucas Miles,Humanix,4,9,"Advice, How-To & Miscellaneous",1,isbn,zbG10AEACAAJ,Pagan Threat,Confronting America's Godless Uprising with a Foreword by Charlie Kirk,['Lucas Miles'],,2025-02-25,"""A fearless warrior for Christ. Lucas is a man built to stand for the truth in a time of great apostasy. Don't just read PAGAN THREAT--internalize what it has to say. Then, share its message with your Christian friends, before they are seduced by Paganism themselves. We have a faith and a country to save.""--CHARLIE KIRK THERE IS A RISING PAGAN THREAT TO THE CHURCH AND AMERICAN WAY OF LIFE. Pastor Lucas Miles, bestselling author of Woke Jesus: The False Messiah Destroying Christianity, delves into the alarming resurgence of pagan ideologies within the United States, posing significant threats to the church, the nation, and the world. Unveiling the complex interplay between ancient beliefs and modern society, PAGAN THREAT: CONFRONTING AMERICA'S GODLESS UPRISING meticulously exposes the inherent dangers that challenge the core fabric of our faith and civic unity. From exposing an evolving techno paganism to blatant idol worship, Pastor Miles navigates the intricate terrain of safeguarding the nation and the pulpit against the rising tide of paganism. PAGAN THREAT serves as an insightful guide, a warning and a call-to-action, urging readers to understand, confront, and ultimately fortify the foundations of their faith and the principles that define our great nation, and is a necessary work to prepare God's people for what comes next in a society experiencing moral and spiritual decline.",0.0,['Political Science'],,,en,NOT_MATURE,http://books.google.com/books?id=zbG10AEACAAJ&dq=isbn:9781630062927&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=zbG10AEACAAJ&dq=isbn:9781630062927&hl=&source=gbs_api
9798217032440,"STRANGER THINGS, SEASON ONE: THE JUNIOR NOVELIZATION",adapted by Matthew J. Gilbert,Random House,1,10,Middle Grade Paperback,1,isbn,HhlZEQAAQBAJ,"Stranger Things, Season One: The Junior Novelization",,['Random House'],Random House,2025-07-08,"This expanded junior novelization retells the first season of Netflix’s iconic series Stranger Things—and includes 8 pages of full-color images from the show! Hawkins is a quiet town where nothing exciting seems to happen—until one night when a boy named Will Byers vanishes. Follow his friends Mike, Lucas, and Dustin as they search for him and uncover a world of secret experiments and terrifying supernatural forces. Is Eleven, a girl with incredible psychic powers, the secret to the mystery? This 320-page junior novelization, which includes eight pages of full-color images from the show, retells the landmark first season of Stranger Things and is sure to thrill kids ages 7 to 10 as well as fans of all ages. Welcome to the thrilling world of Netflix's hit series Stranger Things. Follow Eleven, Dustin, Max, Lucas, and their friends for mystery, suspense, and supernatural adventures in 1980s Hawkins.",329.0,['Juvenile Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=HhlZEQAAQBAJ&printsec=frontcover&dq=isbn:9798217032440&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=HhlZEQAAQBAJ&dq=isbn:9798217032440&hl=&source=gbs_api
9781728256184,THE SUN AND THE STARMAKER,Rachel Griffin,Sourcebooks Fire,10,8,Young Adult Hardcover,1,isbn,9TpH0QEACAAJ,The Sun and the Starmaker,,['Rachel Griffin'],Sourcebooks Fire,2026-02-17,"There once was a village so far north that most considered it the top of the world... and in that village, the Sun fell in love with her Starmaker. From the New York Times bestselling author of The Nature of Witches comes a whimsical and sweeping romantic fantasy. Nestled deep in the snowy mountains of the Lost Range, the village of Reverie is a small miracle. Beyond the reach of the Sun, Reverie is dependent upon the magic of the mysterious Starmaker: every morning, he trudges across a vast glacier and pulls in sunlight over the peaks, providing the village with the light it needs to survive. Aurora Finch grew up on tales of the Starmaker's magic, never imagining she'd one day meet him. But on the morning of her wedding, a fateful encounter in the frostbitten woods changes everything. The Starmaker senses a powerful magic within her and demands she come study under his guidance. With her newfound abilities tied to the survival of the village, Aurora is swept away to his ice-covered castle and far from everything she's ever known. The Starmaker is as cold and distant as the mountain itself, leaving Aurora to explore his enchanted castle alone. Yet the more she discovers about the sorcerer, the stronger their attraction grows, pulling her closer to the secrets he refuses to share. But a deadly frost approaches and Aurora must uncover what the Starmaker is hiding before she is left in an endless winter that even the Sun cannot touch.",0.0,['Juvenile Nonfiction'],,,en,NOT_MATURE,http://books.google.com/books?id=9TpH0QEACAAJ&dq=isbn:9781728256184&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=9TpH0QEACAAJ&dq=isbn:9781728256184&hl=&source=gbs_api
9781665990301,BETTER THAN THE MOVIES,Lynn Painter,Simon & Schuster,12,7,Young Adult Hardcover,1,isbn,BpqeEQAAQBAJ,Better Than the Movies (Collector's Edition),,['Lynn Painter'],Simon and Schuster,2026-01-06,"Michael, to whom Liz Buxbaum gave her heart long ago, has returned but to get his attention and, perhaps, a prom date she must scheme with her nemesis Wes, her next-door neighbor. Provided by publisher.",384.0,['Juvenile Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=BpqeEQAAQBAJ&printsec=frontcover&dq=isbn:9781665990301&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=BpqeEQAAQBAJ&dq=isbn:9781665990301&hl=&source=gbs_api
9781546171461,THE HUNGER GAMES,Suzanne Collins,Scholastic,420,1,Children’s & Young Adult Series,1,isbn,7NDJ0AEACAAJ,Sunrise on the Reaping (a Hunger Games Novel),,['Suzanne Collins'],Scholastic Press,2025-03-18,"The phenomenal fifth book in the Hunger Games series! When you've been set up to lose everything you love, what is there left to fight for? As the day dawns on the fiftieth annual Hunger Games, fear grips the districts of Panem. This year, in honor of the Quarter Quell, twice as many tributes will be taken from their homes. Back in District 12, Haymitch Abernathy is trying not to think too hard about his chances. All he cares about is making it through the day and being with the girl he loves. When Haymitch's name is called, he can feel all his dreams break. He's torn from his family and his love, shuttled to the Capitol with the three other District 12 tributes: a young friend who's nearly a sister to him, a compulsive oddsmaker, and the most stuck-up girl in town. As the Games begin, Haymitch understands he's been set up to fail. But there's something in him that wants to fight . . . and have that fight reverberate far beyond the deadly arena.",0.0,['Young Adult Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=7NDJ0AEACAAJ&dq=isbn:9781546171461&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=7NDJ0AEACAAJ&dq=isbn:9781546171461&hl=&source=gbs_api
9780316576208,NEVER EVER AFTER,Sue Lynn Tan,"Little, Brown",1,5,Young Adult Hardcover,1,isbn,2F0P0QEACAAJ,"Never, Ever After",,['Sue Lynn Tan'],,2025-09-30,"Not all fairy tales end happily ever after in this Cinderella-inspired fantasy by the bestselling author of Daughter of the Moon Goddess--for fans of Renée Ahdieh, Tahereh Mafi, and Stephanie Garber. Yining stopped believing in dreams the day her beloved uncle died. Driven to survive, she's become a good thief and an even better liar. When she acquires an enchanted ring that could yield the key to a better life, it is stolen by her grasping step-aunt, and Yining must venture into the imperial heart of the Iron Mountains to seize it back. Amid the grandeur of the palace, Yining catches the eye of the ruthless and ambitious Prince Zixin, who tempts her with a world she's never imagined. But nothing is as it seems as she's soon trapped in a tangle of power, treachery, and greed--her only ally a cunning advisor from a rival court who keeps dangerous secrets of his own. Desperate to secure her freedom, Yining embarks on a perilous quest where she must choose who to trust, unravel the mystery of her past, and fight for a future that both frightens and calls to her. This sweeping fantasy romance, the first in an enthralling new series, is the young adult debut of the acclaimed author of Daughter of the Moon Goddess and Heart of the Sun Warrior.",0.0,['Young Adult Fiction'],,,en,NOT_MATURE,http://books.google.com/books?id=2F0P0QEACAAJ&dq=isbn:9780316576208&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=2F0P0QEACAAJ&dq=isbn:9780316576208&hl=&source=gbs_api
,"JOJO'S BIZARRE ADVENTURE, PART 7—STEEL BALL RUN, VOL. 5",Hirohiko Araki,VIZ Media,1,4,Graphic Books and Manga,1,title_author,zlRo0QEACAAJ,"JoJo's Bizarre Adventure: Part 7--Steel Ball Run, Vol. 5",,['Hirohiko Araki'],VIZ Media LLC,2026-01-27,"A multigenerational tale of the heroic Joestar family and their never-ending battle against evil! The legendary Shonen Jump series is now available in deluxe hardcover editions featuring color pages! JoJo’s Bizarre Adventure is a groundbreaking manga famous for its outlandish characters, wild humor, and frenetic battles. As Gyro and Johnny battle Dio for the fourth-stage victory in Kansas City, the president of the United States awaits an important message regarding the next part of the Holy Corpse—but the message is quickly stolen by none other than Lucy Steel! Desperate to protect her husband, Lucy must now figure out who she can trust in order to keep the",0.0,['Comics & Graphic Novels'],,,en,NOT_MATURE,"http://books.google.com/books?id=zlRo0QEACAAJ&dq=intitle:JOJO%27S+BIZARRE+ADVENTURE,+PART+7%E2%80%94STEEL+BALL+RUN,+VOL.+5+inauthor:Hirohiko+Araki&hl=&cd=1&source=gbs_api","http://books.google.com/books?id=zlRo0QEACAAJ&dq=intitle:JOJO%27S+BIZARRE+ADVENTURE,+PART+7%E2%80%94STEEL+BALL+RUN,+VOL.+5+inauthor:Hirohiko+Araki&hl=&source=gbs_api"
