published_date,bestsellers_date,list_name,display_name,list_name_encoded,rank,rank_last_week,weeks_on_list,title,author,publisher,description,primary_isbn10,primary_isbn13,amazon_url,book_id,num_lists_appeared
2026-05-17,2026-05-02,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,2,2,894,DIARY OF A WIMPY KID,Jeff Kinney,Amulet,The travails and challenges of adolescence. (Ages 9 to 12),,9781419782695,https://www.amazon.com/dp/141978269X?tag=thenewyorktim-20,9781419782695,1
2026-05-17,2026-05-02,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,4,4,893,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil. (Ages 10 and up),,9781338878929,https://www.amazon.com/dp/1338878921?tag=thenewyorktim-20,9781338878929,2
2026-03-08,2026-02-21,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,3,5,883,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil. (Ages 10 and up),,9781546154419,https://www.amazon.com/dp/1546154418?tag=thenewyorktim-20,9781546154419,1
2025-11-02,2025-10-18,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,3,5,866,DIARY OF A WIMPY KID,Jeff Kinney,Amulet,The travails and challenges of adolescence. (Ages 9 to 12),,9781419766954,https://www.amazon.com/dp/141978269X?tag=thenewyorktim-20,9781419766954,2
2025-07-27,2025-07-12,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,5,2,851,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil. (Ages 10 and up),,9781546148500,http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=thenewyorktim-20,9781546148500,1
2025-07-20,2025-07-05,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,2,9,850,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil. (Ages 10 and up),,9781546171409,https://www.amazon.com/dp/1546171401?tag=thenewyorktim-20,9781546171409,1
2026-05-17,2026-05-02,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,5,7,826,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters. (Ages 9 to 12),,9781368051477,http://www.amazon.com/Titans-Curse-Percy-Jackson-Olympians/dp/1423101480?tag=thenewyorktim-20,9781368051477,1
2026-04-12,2026-03-28,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,7,5,821,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters. (Ages 9 to 12),,9780786838653,http://www.amazon.com/Titans-Curse-Percy-Jackson-Olympians/dp/1423101480?tag=thenewyorktim-20,9780786838653,2
2026-03-01,2026-02-14,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,4,3,815,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters. (Ages 9 to 12),,9781368098045,http://www.amazon.com/Titans-Curse-Percy-Jackson-Olympians/dp/1423101480?tag=thenewyorktim-20,9781368098045,2
2026-05-17,2026-05-02,Children’s Middle Grade Hardcover,Children’s Middle Grade Hardcover,childrens-middle-grade-hardcover,1,1,541,WONDER,R.J. Palacio,Knopf,A boy with a facial deformity starts school. (Ages 8 to 12),,9780375869020,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=thenewyorktim-20,9780375869020,2
2026-02-01,2026-01-17,Paperback Nonfiction,Paperback Nonfiction,paperback-nonfiction,12,0,520,THE GLASS CASTLE,Jeannette Walls,Scribner,The author recalls a bizarre childhood. Originally published in 2005.,,9780743247542,http://www.amazon.com/The-Glass-Castle-A-Memoir/dp/074324754X?tag=thenewyorktim-20,9780743247542,2
2026-05-03,2026-04-18,Children’s Picture Books,Children’s Picture Books,picture-books,7,10,495,DRAGONS LOVE TACOS,Adam Rubin,Dial,What to serve your dragon-guests. (Ages 3 to 5),,9780803736801,http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=thenewyorktim-20,9780803736801,2
2026-05-17,2026-05-02,Children’s Picture Books,Children’s Picture Books,picture-books,8,7,460,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,A celebration of future possibilities.,,9780385376716,http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=thenewyorktim-20,9780385376716,2
2026-04-05,2026-03-21,Paperback Nonfiction,Paperback Nonfiction,paperback-nonfiction,7,8,454,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,,9780374533557,http://www.amazon.com/Thinking-Fast-Slow-Daniel-Kahneman-ebook/dp/B00555X8OA?tag=thenewyorktim-20,9780374533557,1
2026-05-17,2026-05-02,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,1,1,421,THE HUNGER GAMES,Suzanne Collins,Scholastic,"In a dystopia, a girl fights for survival on live TV. (Ages 12 and up)",,9781546171461,https://www.amazon.com/dp/1546171460?tag=thenewyorktim-20,9781546171461,2
2026-04-12,2026-03-28,Children’s & Young Adult Series,Children’s & Young Adult Series,series-books,2,3,416,THE HUNGER GAMES,Suzanne Collins,Scholastic,"In a dystopia, a girl fights for survival on live TV. (Ages 12 and up)",,9780439023528,http://www.amazon.com/Mockingjay-Final-Book-Hunger-Games/dp/0545663261?tag=thenewyorktim-20,9780439023528,1
