column,missing_percent
ratings_count,95.58
average_rating,95.58
series_name,94.48
author_birth_date,79.57
page_count_gap_google_minus_ol,55.6
ol_number_of_pages,55.55
google_subtitle,52.18
ol_author_name,42.9
google_vs_ol_year_gap,42.52
ol_first_publish_year,42.41
years_since_first_publish,42.41
ol_first_publish_decade,42.41
ol_publisher,42.3
ol_ebook_access,41.86
ol_edition_count,41.86
primary_ol_language,41.8
num_archive_ids,41.8
ol_languages,41.8
ol_has_fulltext,41.8
ol_public_scan,41.8
ol_internet_archive_ids,41.8
is_series,41.8
ol_archive_ids_list,41.8
author_total_works,41.8
has_author_birth_date,41.8
ol_subjects_list,41.8
primary_ol_subject,41.8
primary_isbn13_ol,41.8
has_series_name,41.8
num_ol_subjects,41.8
ol_languages_list,41.8
num_ol_languages,41.8
ol_subjects,41.8
google_publisher,13.8
google_pub_date_parsed,10.49
google_pub_month,10.49
google_description,1.99
nyt_publisher,1.77
nyt_author,1.77
primary_isbn13,1.16
isbn13_clean,1.16
google_pub_decade,0.33
google_pub_year,0.33
google_published_date,0.33
years_since_google_pub,0.33
page_count,0.22
google_title,0.17
has_both_page_counts,0.0
has_page_count_ol,0.0
has_page_count_google,0.0
nyt_rank,0.0
has_open_library_match,0.0
nyt_list_name,0.0
num_lists_appeared,0.0
match_method,0.0
nyt_weeks_on_list,0.0
google_books_id,0.0
google_authors,0.0
top_5_rank,0.0
language,0.0
categories,0.0
above_median_weeks,0.0
maturity_rating,0.0
preview_link,0.0
info_link,0.0
categories_list,0.0
primary_genre,0.0
num_google_categories,0.0
description_word_count,0.0
has_google_description,0.0
has_google_subtitle,0.0
has_average_rating,0.0
has_ratings_count,0.0
long_run_52_weeks,0.0
nyt_title,0.0
long_run_26_weeks,0.0
